Rank,Name,G,DefRushYards,DefPassYards,DefPlays,DefTotalYards,DefYards/Play,DefYards/G
62,Missouri,13,1644,3406,889,5050,5.68,388.5
63,Maryland,12,2207,2478,843,4685,5.56,390.4
64,Northwestern,14,1815,3657,983,5472,5.57,390.9
64,Ohio,13,1782,3300,834,5082,6.09,390.9
66,North Carolina State,13,1710,3394,859,5104,5.94,392.6
67,Texas,14,1839,3660,982,5499,5.6,392.8
68,UTEP,12,2349,2387,797,4736,5.94,394.7
69,Rutgers,12,2578,2240,845,4818,5.7,401.5
70,Boston College,12,1859,2975,935,4834,5.17,402.8
71,Ohio State,14,2215,3433,979,5648,5.77,403.4
71,Kansas State,12,1892,2949,814,4841,5.95,403.4
73,Arizona State,13,2217,3040,921,5257,5.71,404.4
74,West Virginia,12,1772,3108,839,4880,5.82,406.7
75,Tulane,13,1915,3373,951,5288,5.56,406.8
76,Tulsa,12,2797,2095,869,4892,5.63,407.7
77,Duke,13,2721,2593,964,5314,5.51,408.8
78,Stanford,13,1899,3432,942,5331,5.66,410.1
79,Arkansas,12,2014,2944,827,4958,6,413.2
80,Florida State,12,1772,3224,954,4996,5.24,416.3
81,Kansas,12,2061,2961,829,5022,6.06,418.5
82,Western Kentucky,12,2074,2985,862,5059,5.87,421.6
83,Indiana,12,2198,2887,848,5085,6,423.8
84,South Carolina,13,2539,2977,991,5516,5.57,424.3
85,Florida Atlantic,12,2232,2861,863,5093,5.9,424.4
86,Baylor,13,2385,3147,852,5532,6.49,425.5
87,Navy,13,2490,3053,850,5543,6.52,426.4
88,Syracuse,13,2112,3433,951,5545,5.83,426.5
89,Memphis,14,2405,3589,1069,5994,5.61,428.1
90,SMU,12,2357,2795,931,5152,5.53,429.3
91,Louisiana-Monroe,12,2192,2965,817,5157,6.31,429.8
92,Arizona,12,1950,3234,904,5184,5.73,432
93,Toledo,13,2304,3316,963,5620,5.84,432.3
94,Nebraska,12,2349,2853,895,5202,5.81,433.5
95,UCF,13,2890,2748,1031,5638,5.47,433.7
96,UTSA,12,1923,3303,815,5226,6.41,435.5
97,Louisiana-Lafayette,14,3067,3035,966,6102,6.32,435.9
98,Virginia Tech,13,2734,2969,892,5703,6.39,438.7
99,Vanderbilt,13,2531,3175,929,5706,6.14,438.9
100,Hawai'i,14,2865,3291,977,6156,6.3,439.7
101,East Carolina,12,2037,3241,859,5278,6.14,439.8
102,UCLA,12,2393,2946,891,5339,5.99,444.9
103,Rice,13,2158,3641,842,5799,6.89,446.1
104,South Florida,13,3218,2588,994,5806,5.84,446.6
105,North Carolina,11,2407,2517,823,4924,5.98,447.6
106,Bowling Green,12,3366,2011,834,5377,6.45,448.1
107,South Alabama,12,2436,2948,804,5384,6.7,448.7
108,Texas Tech,12,1927,3460,905,5387,5.95,448.9
109,Ball State,12,2878,2525,913,5403,5.92,450.3
110,Coastal Carolina,12,2933,2477,741,5410,7.3,450.8
111,Colorado State,12,2634,2784,798,5418,6.79,451.5
112,Oklahoma State,13,2410,3472,974,5882,6.04,452.5
113,Purdue,13,2183,3701,982,5884,5.99,452.6
114,Oklahoma,14,2237,4116,1036,6353,6.13,453.8
115,UNLV,12,2239,3211,843,5450,6.47,454.2
116,Wake Forest,13,2503,3459,1015,5962,5.87,458.6
117,Kent State,12,2643,2964,895,5607,6.26,467.3
118,Old Dominion,12,2597,3060,906,5657,6.24,471.4
119,New Mexico,12,2604,3072,899,5676,6.31,473
120,New Mexico State,12,3221,2490,961,5711,5.94,475.9
121,Mississippi,12,2661,3140,918,5801,6.32,483.4
122,Louisville,12,3327,2475,843,5802,6.88,483.5
123,Liberty,12,2662,3155,922,5817,6.31,484.8
123,Massachusetts,12,3294,2523,846,5817,6.88,484.8
125,Georgia State,12,3012,2862,760,5874,7.73,489.5
126,San Jose State,12,2534,3407,955,5941,6.22,495.1
127,Houston,13,2877,3582,1085,6459,5.95,496.8
128,Illinois,12,2943,3157,866,6100,7.04,508.3
129,Oregon State,12,3382,3059,868,6441,7.42,536.8
130,Connecticut,12,4020,3389,841,7409,8.81,617.4
